local authority: county / unitary (prior to April 2015),Youth,Adult,Senior,White,Asian,Black,Other,Males,Females
Darlington,18877,61563,25124,101595,2205,357,1407,51483,54081
County Durham,82102,303400,127740,503769,4856,701,3916,251280,261962
Hartlepool,16543,54050,21435,89899,1304,170,655,44751,47277
Middlesbrough,26192,83998,28222,122055,10768,1731,3858,67732,70680
Northumberland,50025,178166,87837,311066,2658,338,1966,154124,161904
Redcar and Cleveland,22454,76960,35763,133203,869,122,983,65655,69522
Stockton-on-Tees,34752,115259,41599,181299,6632,1133,2546,94082,97528
Gateshead,33059,119314,47841,192742,3738,1081,2653,97974,102240
Newcastle upon Tyne,45045,182280,52852,239533,27107,5160,8377,140226,139951
North Tyneside,33306,119141,48354,194025,3815,734,2227,96883,103918
South Tyneside,23966,87671,36490,142099,3311,420,2297,71560,76567
Sunderland,44866,165836,64804,264282,7336,1273,2615,133953,141553
Blackburn with Darwen,32078,88466,26945,102009,41494,933,3053,73547,73942
Blackpool,23706,81705,36654,137339,2282,346,2098,69775,72290
Cheshire East,61321,210991,97815,357940,6060,1402,4725,181409,188718
Cheshire West and Chester,54230,191592,83786,321025,4097,908,3578,160586,169022
Halton,23314,75443,26989,123041,943,260,1502,61368,64378
Warrington,36160,121413,44655,193992,4911,694,2631,100300,101928
Cumbria,77454,281493,140911,492257,4066,579,2956,246065,253793
Bolton,53436,163965,59385,226645,38749,4652,6740,136660,140126
Bury,34704,109104,41252,165032,13407,1893,4728,90588,94472
Manchester,91815,345532,65780,335109,85986,43484,38548,252623,250504
Oldham,47250,131819,45828,174326,43165,2797,4609,110155,114742
Rochdale,41827,126602,43270,172874,31630,2770,4425,103642,108057
Salford,42235,146134,45564,210862,9429,6541,7101,116782,117151
Stockport,49909,164076,69290,260819,13762,1958,6736,138400,144875
Tameside,39923,131333,48068,199429,14553,1784,3558,107650,111674
Trafford,42978,134513,49087,193834,17973,6540,8231,110959,115619
Wigan,55995,189006,72848,309193,3519,1678,3459,157996,159853
Lancashire,200039,681527,289773,1080687,71054,4098,15500,575146,596193
Knowsley,26633,88037,31223,141858,1403,505,2127,69329,76564
Liverpool,72668,303863,89884,414671,19403,12308,20033,230483,235932
Sefton,44041,154318,75431,266741,2719,796,3534,131237,142553
St. Helens,29752,101901,43655,171877,1764,248,1419,86138,89170
Wirral,55196,181881,82706,310156,5116,695,3816,153847,165936
East Riding of Yorkshire,51655,183999,98525,327789,2961,598,2831,163388,170791
"Kingston upon Hull, City of",45276,161555,49575,241321,6471,2996,5618,128420,127986
